2018-08-06 13:01:03,031 INFO Result for episode 1  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:01:07,658 INFO Result for episode 2  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:01:12,691 INFO Result for episode 3  of 40000: Sum: -80.34860305522376, Average: 0.0, Length: 100.0
2018-08-06 13:01:16,677 INFO Result for episode 4  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:01:20,510 INFO Result for episode 5  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:01:24,066 INFO Result for episode 6  of 40000: Sum: -70.04462752003269, Average: 0.0, Length: 100.0
2018-08-06 13:01:27,940 INFO Result for episode 7  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:01:31,829 INFO Result for episode 8  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:01:31,902 INFO Result for episode 9  of 40000: Sum: 0.46099106065175627, Average: 0.0, Length: 1.0
2018-08-06 13:01:37,487 INFO Result for episode 10  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:01:42,611 INFO Result for episode 11  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:01:48,184 INFO Result for episode 12  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:01:51,931 INFO Result for episode 13  of 40000: Sum: -96.22597591929252, Average: 0.0, Length: 100.0
2018-08-06 13:01:57,316 INFO Result for episode 14  of 40000: Sum: -99.70459169333608, Average: 0.0, Length: 100.0
2018-08-06 13:02:01,461 INFO Result for episode 15  of 40000: Sum: -97.78412706851928, Average: 0.0, Length: 100.0
2018-08-06 13:02:01,920 INFO Result for episode 16  of 40000: Sum: -3.570404799766561, Average: 0.0, Length: 8.0
2018-08-06 13:02:07,675 INFO Result for episode 17  of 40000: Sum: -97.80434823965646, Average: 0.0, Length: 100.0
2018-08-06 13:02:13,903 INFO Result for episode 18  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:02:19,744 INFO Result for episode 19  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:02:25,119 INFO Result for episode 20  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:02:31,085 INFO Result for episode 21  of 40000: Sum: -97.61879988760361, Average: 0.0, Length: 100.0
2018-08-06 13:02:36,855 INFO Result for episode 22  of 40000: Sum: -99.68810215961335, Average: 0.0, Length: 100.0
2018-08-06 13:02:42,937 INFO Result for episode 23  of 40000: Sum: -99.31204619092307, Average: 0.0, Length: 100.0
2018-08-06 13:02:47,715 INFO Result for episode 24  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:02:53,695 INFO Result for episode 25  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:02:58,944 INFO Result for episode 26  of 40000: Sum: -97.09807842918488, Average: 0.0, Length: 100.0
2018-08-06 13:03:02,624 INFO Result for episode 27  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:03:06,212 INFO Result for episode 28  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:03:10,835 INFO Result for episode 29  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:03:15,526 INFO Result for episode 30  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:03:19,971 INFO Result for episode 31  of 40000: Sum: -35.884982979556845, Average: 0.0, Length: 100.0
2018-08-06 13:03:24,231 INFO Result for episode 32  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:03:27,461 INFO Result for episode 33  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:03:31,138 INFO Result for episode 34  of 40000: Sum: -99.8659802610522, Average: 0.0, Length: 100.0
2018-08-06 13:03:35,105 INFO Result for episode 35  of 40000: Sum: -92.05412211943825, Average: 0.0, Length: 100.0
2018-08-06 13:03:39,240 INFO Result for episode 36  of 40000: Sum: -98.74251313963877, Average: 0.0, Length: 100.0
2018-08-06 13:03:44,828 INFO Result for episode 37  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:03:50,091 INFO Result for episode 38  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:03:55,957 INFO Result for episode 39  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:03:56,633 INFO Result for episode 40  of 40000: Sum: -6.05279360562081, Average: 0.0, Length: 12.0
2018-08-06 13:04:01,987 INFO Result for episode 41  of 40000: Sum: -85.02623399518448, Average: 0.0, Length: 100.0
2018-08-06 13:04:07,876 INFO Result for episode 42  of 40000: Sum: -98.39649590525616, Average: 0.0, Length: 100.0
2018-08-06 13:04:11,534 INFO Result for episode 43  of 40000: Sum: -8.171281450595849, Average: 0.0, Length: 67.0
2018-08-06 13:04:16,946 INFO Result for episode 44  of 40000: Sum: -59.073123110804836, Average: 0.0, Length: 100.0
2018-08-06 13:04:20,818 INFO Result for episode 45  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:04:24,426 INFO Result for episode 46  of 40000: Sum: -99.29697374711813, Average: 0.0, Length: 100.0
2018-08-06 13:04:28,812 INFO Result for episode 47  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:04:32,721 INFO Result for episode 48  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:04:36,561 INFO Result for episode 49  of 40000: Sum: -46.8071362276751, Average: 0.0, Length: 100.0
2018-08-06 13:04:41,551 INFO Result for episode 50  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:04:46,426 INFO Result for episode 51  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:04:50,707 INFO Result for episode 52  of 40000: Sum: -32.59436522820491, Average: 0.0, Length: 100.0
2018-08-06 13:04:55,933 INFO Result for episode 53  of 40000: Sum: -73.53609334490059, Average: 0.0, Length: 100.0
2018-08-06 13:04:56,053 INFO Result for episode 54  of 40000: Sum: -0.03019009001718631, Average: 0.0, Length: 2.0
2018-08-06 13:05:01,218 INFO Result for episode 55  of 40000: Sum: -99.86444239192743, Average: 0.0, Length: 100.0
2018-08-06 13:05:06,128 INFO Result for episode 56  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:05:11,007 INFO Result for episode 57  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:05:16,641 INFO Result for episode 58  of 40000: Sum: -85.66373813121132, Average: 0.0, Length: 100.0
2018-08-06 13:05:22,624 INFO Result for episode 59  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:05:23,727 INFO Result for episode 60  of 40000: Sum: -11.746961643224761, Average: 0.0, Length: 20.0
2018-08-06 13:05:29,556 INFO Result for episode 61  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:05:35,248 INFO Result for episode 62  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:05:41,381 INFO Result for episode 63  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:05:47,415 INFO Result for episode 64  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:05:52,672 INFO Result for episode 65  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:05:58,344 INFO Result for episode 66  of 40000: Sum: -99.96180729636832, Average: 0.0, Length: 100.0
2018-08-06 13:06:03,563 INFO Result for episode 67  of 40000: Sum: -99.97738593119729, Average: 0.0, Length: 100.0
2018-08-06 13:06:08,611 INFO Result for episode 68  of 40000: Sum: -94.75998734110965, Average: 0.0, Length: 100.0
2018-08-06 13:06:12,382 INFO Result for episode 69  of 40000: Sum: -32.405233251943436, Average: 0.0, Length: 71.0
2018-08-06 13:06:14,719 INFO Result for episode 70  of 40000: Sum: -36.017047468185034, Average: 0.0, Length: 52.0
2018-08-06 13:06:19,724 INFO Result for episode 71  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:06:25,542 INFO Result for episode 72  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:06:31,269 INFO Result for episode 73  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:06:36,930 INFO Result for episode 74  of 40000: Sum: -99.56051870521057, Average: 0.0, Length: 100.0
2018-08-06 13:06:42,528 INFO Result for episode 75  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:06:46,315 INFO Result for episode 76  of 40000: Sum: -25.707009017916047, Average: 0.0, Length: 100.0
2018-08-06 13:06:50,396 INFO Result for episode 77  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:06:54,615 INFO Result for episode 78  of 40000: Sum: -99.85106353726263, Average: 0.0, Length: 100.0
2018-08-06 13:06:58,702 INFO Result for episode 79  of 40000: Sum: -99.81105949881797, Average: 0.0, Length: 100.0
2018-08-06 13:07:02,572 INFO Result for episode 80  of 40000: Sum: -99.85756601268285, Average: 0.0, Length: 100.0
2018-08-06 13:07:06,709 INFO Result for episode 81  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:07:10,672 INFO Result for episode 82  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:07:16,456 INFO Result for episode 83  of 40000: Sum: -17.24291045041967, Average: 0.0, Length: 100.0
2018-08-06 13:07:20,512 INFO Result for episode 84  of 40000: Sum: -41.81442352309143, Average: 0.0, Length: 100.0
2018-08-06 13:07:24,430 INFO Result for episode 85  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-06 13:07:28,297 INFO Result for episode 86  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
