2018-08-22 10:01:08,951 INFO Result for episode 1  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-22 10:01:11,543 INFO Result for episode 2  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-22 10:01:14,119 INFO Result for episode 3  of 40000: Sum: -99.07102053780376, Average: 0.0, Length: 100.0
2018-08-22 10:01:16,730 INFO Result for episode 4  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-22 10:01:19,251 INFO Result for episode 5  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-22 10:01:22,156 INFO Result for episode 6  of 40000: Sum: -92.77905204939887, Average: 0.0, Length: 100.0
2018-08-22 10:01:25,133 INFO Result for episode 7  of 40000: Sum: -99.87500424000154, Average: 0.0, Length: 100.0
2018-08-22 10:01:27,688 INFO Result for episode 8  of 40000: Sum: -99.98915679475333, Average: 0.0, Length: 100.0
2018-08-22 10:01:30,534 INFO Result for episode 9  of 40000: Sum: -82.1262727146906, Average: 0.0, Length: 100.0
2018-08-22 10:01:33,396 INFO Result for episode 10  of 40000: Sum: -74.13212025207484, Average: 0.0, Length: 100.0
2018-08-22 10:01:36,228 INFO Result for episode 11  of 40000: Sum: -88.21833007824455, Average: 0.0, Length: 100.0
2018-08-22 10:01:38,908 INFO Result for episode 12  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-22 10:01:41,847 INFO Result for episode 13  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-22 10:01:44,821 INFO Result for episode 14  of 40000: Sum: -91.1921679800833, Average: 0.0, Length: 100.0
2018-08-22 10:01:47,907 INFO Result for episode 15  of 40000: Sum: -55.93689042056381, Average: 0.0, Length: 100.0
2018-08-22 10:01:50,478 INFO Result for episode 16  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-22 10:01:53,043 INFO Result for episode 17  of 40000: Sum: -94.79745458087064, Average: 0.0, Length: 100.0
2018-08-22 10:01:55,466 INFO Result for episode 18  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
2018-08-22 10:01:57,915 INFO Result for episode 19  of 40000: Sum: -100.0, Average: 0.0, Length: 100.0
