#{"env_id": 1, "t_start": 1534924858.3933766}
r,l,t
-100,100,9.168314
-100,100,12.39919
-99.071021,100,14.956787
-100,100,17.572415
-100,100,20.104331
-92.779052,100,23.010188
-99.875004,100,25.974399
-99.989157,100,28.540845
-82.126273,100,31.429654
-74.13212,100,34.299711
-88.21833,100,37.095168
-100,100,39.762084
-100,100,42.715607
-91.192168,100,45.716925
-55.93689,100,48.761856
-100,100,51.345236
-94.797455,100,53.970906
-100,100,56.38764
-100,100,58.872739
-59.891759,100,61.2514
-99.857959,100,63.59076
-100,100,66.008457
-100,100,68.378711
-99.813471,100,70.72811
-99.897464,100,73.182352
-99.847092,100,75.647307
-99.749533,100,78.088315
-89.427748,100,80.353486
-94.181609,100,82.79321
-8.83361,100,85.258747
-92.60675,100,87.612862
-100,100,89.930461
-100,100,92.401151
-99.805632,100,94.83364
-100,100,97.251933
-100,100,99.669457
-100,100,102.110032
-98.723631,100,104.49217
-99.468273,100,106.862433
-89.988566,100,109.315901
-100,100,111.634048
-99.44194,100,114.067636
-97.079623,100,116.486283
-100,100,119.003102
-100,100,121.425689
-91.928547,100,123.890624
-100,100,126.361478
-21.090524,100,128.811886
-100,100,131.181681
-99.954959,100,133.636571
-100,100,136.117269
-91.690058,100,138.588788
-100,100,141.004566
-100,100,143.490316
-85.841312,100,145.961612
-90.852519,100,148.34844
-49.450656,100,150.751261
-82.936422,100,153.052838
-90.08468,100,155.370823
-92.109083,100,157.803643
-100,100,160.137823
-96.973695,100,162.562216
-94.862343,100,164.979706
-100,100,167.427547
-93.102691,100,169.895814
-9.750082,100,172.365971
-95.724983,100,174.830353
-95.02475,100,177.315017
-100,100,179.799155
-94.078332,100,182.170471
-100,100,184.650131
-85.225933,100,187.075637
-74.247419,100,189.47878
-100,100,191.942419
-100,100,194.397014
-100,100,196.829802
-63.582723,100,199.246551
-80.124482,100,201.664123
-100,100,204.102396
-100,100,206.488335
-65.533072,100,208.936095
-100,100,211.391081
-99.902836,100,213.893307
-100,100,216.394954
-99.686747,100,218.797181
-81.604873,100,221.260844
-99.36067,100,223.779931
-100,100,226.251287
-100,100,228.684467
-100,100,231.139751
-100,100,233.628527
-100,100,236.116275
-48.603402,100,238.634011
-100,100,241.150488
-100,100,243.622119
-100,100,246.055823
-100,100,248.556884
-100,100,251.059104
-62.923178,100,253.492777
-91.076171,100,255.948494
-100,100,258.787964
-100,100,261.206697
-97.371459,100,263.692116
-89.076061,100,266.057403
-100,100,268.443466
-100,100,270.9301
-99.63902,100,273.499134
-99.867062,100,275.979187
-88.530525,100,278.503866
-100,100,280.82189
-99.593178,100,283.224296
-93.131077,100,285.626032
-100,100,288.111499
-99.963109,100,290.64536
-99.878775,100,293.148647
-86.43897,100,295.56648
-99.442828,100,297.984847
-93.677608,100,300.422886
-97.751287,100,302.788468
-40.651801,100,305.258095
-97.951578,100,307.661944
-90.344347,100,310.149348
-96.63825,100,312.681684
-97.705043,100,315.184929
-100,100,317.639719
-89.752343,100,320.1415
-89.33257,100,322.374055
-94.820236,100,324.891884
-100,100,327.208894
-100,100,329.727169
-98.689599,100,332.227575
-48.543822,100,334.729674
-97.338013,100,337.133183
-16.63787,100,339.573695
-87.870903,100,341.906144
-99.449341,100,344.260849
-99.864272,100,346.695
-100,100,349.16565
-98.374989,100,351.667562
-100,100,354.170424
-100,100,356.670176
-97.167185,100,358.972683
-100,100,361.407625
-100,100,363.824337
-93.127859,100,366.308904
-63.227069,100,368.826517
-21.19002,100,371.15883
-99.483507,100,373.562354
-100,100,376.016949
-100,100,378.588586
-99.844736,100,381.053718
-99.95693,100,383.523542
-99.297495,100,385.872048
-91.757682,100,388.310268
-98.412314,100,390.710985
-91.246173,100,393.160085
-82.282707,100,395.532056
-100,100,398.081382
-100,100,400.584118
-87.608908,100,403.055162
-94.291751,100,405.442669
-97.305678,100,407.893588
-100,100,410.315191
-100,100,412.766016
-99.913108,100,415.135482
-100,100,417.585099
-84.236572,100,420.126715
-23.863533,100,422.560592
-98.049465,100,424.979601
-100,100,427.434536
-100,100,429.883564
-100,100,432.337507
-100,100,434.770178
-98.162868,100,437.188211
-100,100,439.605225
-100,100,441.990924
-100,100,444.392178
-92.568947,100,446.861632
-99.047697,100,449.309565
-100,100,451.726713
-100,100,454.148702
-100,100,456.644094
-32.846544,100,459.151699
-100,100,461.453184
-99.217825,100,463.885633
-100,100,466.318855
-98.49297,100,468.704763
-95.160022,100,471.138201
-48.597935,100,473.560969
-99.917061,100,475.910138
-91.001875,100,478.34384
-93.311098,100,480.798558
-46.71326,100,483.47234
-100,100,485.857841
-99.088057,100,488.329503
-100,100,490.74838
-100,100,493.180284
-81.047322,100,495.650862
7.010578,100,498.098194
-78.355425,100,500.536725
-100,100,503.273849
-100,100,505.813379
-100,100,508.316087
-100,100,510.734356
-100,100,513.281728
-97.403172,100,515.783497
-100,100,518.324832
-100,100,520.803631
-62.861415,100,523.25661
-97.925828,100,525.604259
-100,100,528.126421
-98.878023,100,530.607676
-75.735954,100,533.076554
-100,100,535.56181
-95.427455,100,538.032973
-96.662221,100,540.497426
-100,100,542.951952
-100,100,545.438018
-96.481372,100,547.887604
-99.922513,100,550.342273
-100,100,552.822645
-95.083231,100,555.246483
-95.785436,100,557.579963
-95.496281,100,560.050747
-99.965638,100,562.49879
-55.998755,100,564.969299
-94.288174,100,567.432947
-99.882739,100,569.903741
-100,100,572.339518
-98.542727,100,574.778684
-100,100,577.211562
-60.711898,100,579.629412
-100,100,582.0689
-32.15746,100,584.488831
-100,100,586.789329
-90.076738,100,589.191398
-95.915045,100,591.524697
-100,100,593.857695
-81.793606,100,596.344281
-90.34676,100,598.861278
-72.554446,100,601.315792
-100,100,603.749805
-93.299619,100,606.220384
-100,100,608.65411
-100,100,611.156191
-100,100,613.642401
-74.191379,100,616.097708
-100,100,618.462394
-100,100,620.931648
-99.671222,100,623.383379
-66.439337,100,625.884107
-67.462917,100,628.354642
-99.94801,100,630.689202
-61.795105,100,633.128974
-96.45906,100,635.615265
-100,100,638.116833
-100,100,640.580668
-100,100,643.066704
-97.603742,100,645.500171
-75.496499,100,647.924052
-100,100,650.187202
-91.343994,100,652.588064
-92.175554,100,654.92562
-99.167395,100,657.341861
-99.967258,100,659.659135
-92.655646,100,662.14364
-98.749615,100,664.630505
-67.751848,100,667.130732
-60.832862,100,669.510028
-97.824211,100,671.848144
-100,100,674.297578
-80.620608,100,676.800012
-100,100,679.338694
-99.975588,100,681.789013
-100,100,684.289979
-40.40143,100,686.77507
-100,100,689.263144
-100,100,691.780955
-100,100,694.26739
-100,100,696.800638
-95.309397,100,699.331942
-98.888983,100,701.801933
-100,100,704.287398
-100,100,706.789109
-95.728596,100,709.237615
-23.946996,100,711.660991
-99.477699,100,713.962998
-100,100,716.481165
-95.781388,100,718.929346
-100,100,721.384811
-99.887373,100,723.84953
-100,100,726.304744
-99.733874,100,728.738095
-93.328646,100,731.192352
-90.752537,100,733.542372
-100,100,735.98178
-100,100,738.446467
-59.954618,100,740.900884
-100,100,743.219513
-100,100,745.690488
-100,100,748.58316
-98.117678,100,751.133181
-98.226919,100,753.670896
-99.968775,100,756.23433
-100,100,758.775782
-95.270685,100,761.262527
-100,100,763.76365
-100,100,766.344038
-100,100,768.897667
-98.167271,100,771.368987
-77.047152,100,773.90072
-100,100,776.403153
-100,100,778.903774
-100,100,781.389215
-100,100,783.907861
-100,100,786.45794
-100,100,788.898106
-81.452089,100,791.384876
-100,100,793.688707
