EpLenMean,TotalRewardMean,EVAfter,KL,EVBefore,EpRewMean,EpRewSEM
100.0,-100.0,-526619875981405.25,0.0036320356,-408453936126521.06,-100.0,0.0
100.0,-200.0,-2.2550777925877824e+16,0.2410764,-2.4279585462295044e+16,-100.0,0.0
100.0,-299.07102053780375,-137206911359381.53,0.0057088253,-351290416035568.94,-99.07102053780376,0.0
100.0,-399.07102053780375,-170510615696132.12,0.008379584,-90443860786553.58,-100.0,0.0
100.0,-499.07102053780375,-243613804966509.88,0.0087504275,-92556729953205.19,-100.0,0.0
100.0,-591.8500725872026,-681311855913505.6,0.0041596927,-638285580886286.1,-92.77905204939887,0.0
100.0,-691.7250768272041,-262157042297999.97,0.0066079064,-320858162617343.0,-99.87500424000154,0.0
100.0,-791.7142336219574,-86471557825491.5,0.008155775,-339423159788410.0,-99.98915679475333,0.0
100.0,-873.840506336648,-52688841887642.55,0.003093825,-54855792561624.08,-82.1262727146906,0.0
100.0,-947.9726265887228,-110478329001154.84,0.003580701,-132323293762766.55,-74.13212025207484,0.0
100.0,-1036.1909566669674,-66208151868971.06,0.008350052,-79256822932022.14,-88.21833007824455,0.0
100.0,-1136.1909566669674,-35328621799276.53,0.008179084,-41751760986111.62,-100.0,0.0
100.0,-1236.1909566669674,-49525313302379.16,0.008657239,-39761894028468.56,-100.0,0.0
100.0,-1327.3831246470506,-129326352175686.27,0.0040577217,-86216279409528.5,-91.1921679800833,0.0
100.0,-1383.3200150676143,-81651142505779.19,0.008150394,-78129067304402.89,-55.93689042056381,0.0
100.0,-1483.3200150676143,-175758567727493.75,0.012633471,-157285977429768.12,-100.0,0.0
100.0,-1578.117469648485,-14162059238979.443,0.006013105,-41622424623707.47,-94.79745458087064,0.0
100.0,-1678.117469648485,-49350835207779.27,0.00879597,-56543045212476.945,-100.0,0.0
100.0,-1778.117469648485,-32775430939641.297,0.00911441,-30486091556473.105,-100.0,0.0
100.0,-1838.0092286317704,-45385804705740.36,0.0037420748,-51118721029305.8,-59.89175898328541,0.0
100.0,-1937.867187479552,-23611326433881.73,0.0064606755,-17373210770493.162,-99.85795884778177,0.0
100.0,-2037.867187479552,-88639519017686.2,0.0065376214,-63481279282012.56,-100.0,0.0
100.0,-2137.867187479552,-22058308973957.45,0.013534801,-38710086353139.06,-100.0,0.0
100.0,-2237.680658196533,-61553826760450.93,0.005385056,-82708368210132.81,-99.8134707169813,0.0
100.0,-2337.5781224986968,-71072897509254.73,0.012793235,-26736173602722.613,-99.89746430216383,0.0
100.0,-2437.425214717533,-13737828507481.88,0.0073547144,-27463604632090.945,-99.84709221883645,0.0
100.0,-2537.1747473397822,-67259090295119.21,0.0042562904,-53972572161698.555,-99.74953262224926,0.0
100.0,-2626.6024951495706,-64463667724402.57,0.004133819,-86947125663786.06,-89.42774780978843,0.0
100.0,-2720.7841045464447,-34646448592091.082,0.004070772,-45726699269504.445,-94.1816093968743,0.0
100.0,-2729.617714357292,-126409834731929.97,0.0035936548,-118457127921471.3,-8.833609810847175,0.0
100.0,-2822.2244643458694,-13958229113382.701,0.0035289233,-33859311608316.9,-92.6067499885776,0.0
100.0,-2922.2244643458694,-120692012365629.03,0.0070860335,-216347991519372.8,-100.0,0.0
100.0,-3022.2244643458694,-55008310250723.28,0.005402354,-47001256398597.51,-100.0,0.0
